relative_path,caption_short,exists,valid_pdf,size_bytes,sha256
supplementary_figures/figS12_weighted_budget_ranks.pdf,Weighted-average budget ranks,True,True,13261,8d97b0864a7f730bf9fdf40e5a6ef226c565e465b945dca8ce35b36966c298ba
supplementary_figures/figS13_arima100_sequential_budget_ranks.pdf,"ARIMA(1,0,0) static and corrected sequential budget ranks",True,True,15676,d8e78a2c05c56c6429bdc1db8432154f241f967de7f8322255e3499abc77d2c2
supplementary_figures/figS14_arima101_sequential_budget_ranks.pdf,"ARIMA(1,0,1) static and corrected sequential budget ranks",True,True,15660,52b0c0acceb83c6d094c3c3846cf2828f2da56a1dd1b337ebb21921bb8b99f64
supplementary_figures/figS15_arima001_budget_sensitivity.pdf,"ARIMA(0,0,1) static budget sensitivity",True,True,11813,a4b27487eaa2d6d183db162d63d606fae5dd3639a14afeb2342e05734d671dca
supplementary_figures/figS16_arima100_budget_sensitivity.pdf,"ARIMA(1,0,0) static budget sensitivity",True,True,11938,bcadc9702b44bd48cdde2de683da373ba8d8ec9d27916c59cca579cfe231e800
supplementary_figures/figS17_arima101_budget_sensitivity.pdf,"ARIMA(1,0,1) static budget sensitivity",True,True,11946,58b24a0e825c7ef8c920355f0abec00f5b3e65931d13114958600236f8ec2386
supplementary_figures/figS18_ict_budget_sensitivity.pdf,ICT budget sensitivity,True,True,11653,c4b7fee12c2bced993f9850ee10df55a6980d6a21e85ec044369baaade3d5add
supplementary_figures/figS19_hybrid_ict_budget_sensitivity.pdf,Hybrid ICT budget sensitivity,True,True,11795,a8572a30e21baf407b3f55bfe0823770f60f29dee0a8889bb79f96bb3420d2d7
supplementary_figures/figS20_monte_carlo_budget_sensitivity.pdf,Monte Carlo budget sensitivity,True,True,11950,cde90386bef720a02073526b7b2a3ee58437ff95a3c616b01409cc7d816ba97f
supplementary_figures/figS21_simple_sequential_budget_sensitivity.pdf,Corrected simple-average sequential budget sensitivity,True,True,11868,e58b3c03bf9bdce2237f2553caa75683bef8f9964fda09e82fce08c749274cd1
supplementary_figures/figS22_weighted_sequential_budget_sensitivity.pdf,Corrected weighted-average sequential budget sensitivity,True,True,11874,71e7b66f22ea80aa2d83d37067af64e4c74fb705fdd83bcca94e2d552b5c52b8
supplementary_figures/figS23_arima001_sequential_budget_sensitivity.pdf,"Corrected ARIMA(0,0,1) sequential budget sensitivity",True,True,11876,49294f1af44d5a355bf5281b6f950c4dfb8647952fc5d8aeb9484a8ae5a736da
supplementary_figures/figS24_family_best_cumulative.pdf,Best-performing methods across forecasting families,True,True,14937,fd3cf62dca0a8b9b03abe8300faf8232869548f7ac97ba06edc5603136adb2cb
supplementary_figures/figS25_family_uplift.pdf,Weekly method uplift relative to the corrected fixed-squad benchmark,True,True,59356,81285b67cb3af7faee03ffc179ed462e5012e0052120f70453e9d876cddd6410
supplementary_figures/figS26_top10_weekly_distributions.pdf,Weekly score distributions for the leading methods,True,True,37126,b9c775d1248e4eba2dc1797cba0425283773dc2575b3a0beb55ac2531430917c
supplementary_figures/figS27_fixed_split_external_benchmark.pdf,Fixed-split corrected sequential comparison with Santoro strategies,True,True,21147,aed757d182e20ee52fedb5b5218b37be9eb4d468959b2a20fe115bc913411dfb
